segment_41|Riêng cái loài tinh ăn mù làm này thì con phải nghiêm trị.
segment_42|Thấy con trai mình quả quyết quá, bà cụ nhâ hốt hoảng can lại.
segment_43|Bu có còn nhớ không? Cái ngày bu con ta lên tỉnh lị về, thấy nó nằm thoi thóp bên đường, thân mang trọng bệnh.
segment_44|Thôi nhà anh Kiệm ạ, giờ mà anh giao nó cho Tuần Đinh rồi việc tới tai cụ tránh thì coi như rắc rối to.
segment_45|Con đã nghe bu cứu giúp nó, lại cưu mang nó trong nhà, cho làm gia nô, cơm ngày hai bữa, một năm tám quan tiền.
segment_46|Luật làng ta nghiêm lắm, ăn cắp thì chặt tay mà gian dâm thì thả bè chuối.
segment_47|Con hỏi bu, có nhà nào đối đãi với gia nhân tốt như nhà mình không?
segment_48|Thế mà con không ngờ mình nuôi ong tay áo, rước cáo vào nhà.
segment_49|Loại này không nghiêm trị, tất có ngày nó dắt cướp vào tận nhà mà làm hại gia cang.
segment_50|Ngừng một giây, ông bá chừng mắt thét.
segment_51|Chúng mày đâu, theo tao áp giải quân bất lương này giao cho tuần Đinh để cụ tránh xử theo luật làng.
segment_52|Đám gia nô trong nhà vốn chịu ơn ông bá nên nhất mực tuân theo.
segment_53|Thôi thì coi như bu xin, tha một người là tạo nhiều phúc ấm lắm nhà anh ngạ.
segment_54|Nhưng may phước sao vin vào lời của bu mình, ông bá như cởi bỏ được khúc mắc.
segment_55|Thật tình, ông Bá Kiệm chẳng hề muốn làm như lời mình nói.
segment_56|Giờ thì cuốn xéo ngay khỏi nhà, đừng để tao thấy mặt mày thêm.
segment_57|Ông bá là một kẻ học rộng hiểu cao, sống rất biết trước biết sau và coi gia nô như người nhà.
segment_58|Dẫu vậy, ông vẫn trừng mắt nạt.
segment_59|Những đứa khác lấy đó làm gương, nhược bằng có lần nữa thì đừng trách tao tuyệt tình.
segment_60|May phước cho mày là bu tao tấm lòng từ bi, hôm nay coi như tao tha.
segment_61|Hơn hết thằng danh cũng thuộc dạng mau lẹ, làm gì cũng rất đúng ý ông, thành ra ông cũng vô cùng cảm mến.
segment_62|Nhưng là một người cương trực, đời ông hận nhất là cái loại tinh ăn mù làm, chỉ chờ hở ra là trộm cắp.
segment_63|Thêm cái là sự việc rành rành 3 năm rõ 10, nếu ông không làm nghiêm để ăn đe, tất sau này sẽ xảy ra tiền lệ xấu.
segment_64|Ông biết nếu đem thằng danh giao cho Tuần Đinh thì chắc chắn nó sẽ bị chặt tay, tống cổ khỏi làng.
segment_65|Điều đó ông cũng không đành lòng.
segment_66|Thấy con trai đã xuôi, bà cụ nhâ mệt mỏi tiến lại.
segment_67|Đón lấy túi bạc mà con hầu gái mới hốt vào, bà cụ móc trong ống tay áo ra thêm mấy quan tiền, đem dúi cho danh rồi thảm nãm bảo.
segment_68|Nhà cụ chẳng ai bạc ác với mày mà mày gây ra tội lớn quá.
segment_69|Thôi thì có túi bạc và mấy quan tiền này, coi như tiền công lâu nay mày hầu hạ, cầm lấy rồi đi nơi khác kiếm kế sinh nhai.
segment_70|Vừa lệnh, bà cụ vừa dìu thằng danh dậy rồi trách.
segment_71|Mày dại lắm con ạ, mua danh ba vạn, bán danh ba đồng, coi như trận đòn hôm nay là bài học cảnh tỉnh.
segment_72|Sau này sống phải thành người ngay thẳng, đừng vì chút lợi lộc trước mắt mà nảy lòng tham, có ngày chết đấy con ạ.
segment_73|Danh yếu ớt quỳ xuống rồi chắp tay vái bà cụ như tế sao.
segment_74|Mày ở nhà cụ, không có công lao cũng có khổ lao.
segment_75|Từ nay cấm chỉ làm trò trộm cắp.
segment_76|Danh đón lấy túi bạc và sâu tiền kẽm, sau đó yếu ớt đứng dậy và lủi thủi bỏ đi.
segment_77|Màn sương trắng vẫn lờ mờ bủa vây, rất nhanh cái bóng thất thẻo đã mất dạng sau cánh cổng gỗ và hàng rào đá ong cao mấy thước.
segment_78|Mệt mỏi buông một tiếng thở dài, bà cụ yếu ớt bấu lấy tay con dâu, hất hàm ra hiệu đưa mình vào buồng.
segment_79|Ông bá cũng chán nản xua tay cho đám gia nô tản đi, trong khi một mình ông tiến lại hàng hiên, u sầu suy nghĩ về nhân tình thế thái.
segment_80|Kể thêm một chút về gia cảnh nhà ông Bá Kiệm.
segment_81|Gia đình ông bá gốc gác bảy đời đều sinh sống ở làng này.
segment_82|Gia đình ông bá giàu cố đế thâm canh.
segment_83|Ruộng vườn tiền bạc từ đời tiền nhân chất trồng để lại, đến đời ông nhờ vào tài tính toán làm ăn nên gia sản đã nhân lên gấp trăm.
segment_84|Chẳng riêng gì với vợ con hay đầy tớ trong nhà, với những thân phận cùng đinh trong làng, ông bá cũng tỏ ra hết sức thân tình, chẳng nề hà địa vị giai cấp.
segment_85|Tiền bạc trong nhà nhiều quá, ông bá còn rộng lượng xuất tiền gạo để cứu làng qua cơn lũ lớn năm mùi.
segment_86|Những bận giáp hạt người làng đói miếng ăn, cũng chính ông bá lệnh mở kho phát gạo.
segment_87|Lại bỏ một số tiền lớn để xây dựng trường làng, tự thuê một ông đồ có tiếng ở tổng bên về gõ đầu trẻ.
segment_88|Tất cả những việc làm nhân đức đó đều được người ta biết tới.
segment_89|Vậy nên trong làng, gia đình ông Bá Kiệm được người ta trọng vọng coi như Phật sống.
segment_90|Ngay cả đám cụ chánh và hương thân cũng hết mực tôn kính gia đình ông, nhưng ông đồ chẳng màng danh vọng, chỉ muốn sống một đời bình an.
segment_91|Ông bá là con người tốt tính thiện lương, nhưng khỏi phải nói, người làng này đều chịu ơn bà cụ nhâ gấp trăm lần.
segment_92|Là một người hiền từ ăn chay trường đã mấy mươi năm.
segment_93|Bà cụ luôn tỏ ra là người nhân nghĩa,
segment_94|chẳng bao giờ để bụng chuyện gì.
segment_95|Dạo còn trẻ, bà cụ là một lang y cao tay, đã bao lần cứu sống người ta mà chẳng màng một đồng một cắc.
segment_96|Chẳng riêng gì người lớn, mà đám trẻ con trong làng đều quý mến, gọi bà một tiếng là bà nội.
segment_97|Làng Nhậm Hà, nhờ hồng phúc của gia đình bà cụ Nhâm, nên mấy năm rày thay ra đổi thịt.
segment_98|Từ hàng trăm mái nhà tranh rột nát, nay đời sống trong làng đã được cải thiện rõ.
segment_99|Khác xa với mấy ngôi làng quanh đây.
segment_100|Trẻ con trong làng được cắp hút nghiêng đi học.
segment_101|Đám cùng đinh cũng có con trâu đi cày.
segment_102|Trong nhà cũng nuôi được bầy gà đẻ trứng.
segment_103|Trong làng vì thế cũng sinh ra lắm kẻ hay chữ.
segment_104|Nạn đói, nạn dốt đã phần nào được đẩy lui, và hơn hết, đám đàn ông trong làng đã bỏ được tật rượu chè bê tha.
segment_105|Điều đó làm cho ai ai cũng phấn khởi, đời sống được cải thiện.
segment_106|Nhưng chính vì thế, luật lệ trong làng lại trở nên cực kỳ nghiêm khắc và thói trộm cắp lúc bấy giờ bị xem là một trọng tội.
segment_107|Quay trở lại hoàn cảnh hôm ấy.
segment_108|Ngồi một lúc thì ánh nắng ban mai cũng bắt đầu len lói.
segment_109|Đám sương trắng cũng phần nào loãng tan.
segment_110|Làng quê tịnh mịch nay đã bừng lên sức sống.
segment_111|Nào là tiếng gà kêu, tiếng chó sủa, tiếng chân người nện trên lòng đường, tiếng gọi nhau ý ới đi chợ.
segment_112|Hàng tá thanh âm xen kẽ đem lại sinh khí cho một ngày dài.
segment_113|Mệt mỏi chống tay đứng dậy, ông Bá Kiệm tiến vào nhà, chộp lấy cây ba toong rồi lại quay bước trở ra.
segment_114|Thấy chồng mình tất tả đi vội, bà bá rảo bước tiến nhanh ra rồi hỏi.
segment_115|Mình đi đâu mà sớm thế? Thế quan sáng không để em bảo con sen nó dọn mâm lên?
segment_116|Ngoái lại nhìn vợ bằng ánh mắt còn vương đầy tâm sự.
segment_117|Ông bá lắc đầu bảo.
segment_118|Tôi sang nhà cụ Tránh để bàn về việc chị Thủy.
segment_119|Mấy đêm trước xem Thiên Văn thấy dị tượng, dự là năm nay gặp cơn bão to.
segment_120|Để làng mình mà không ra cố lại, khéo thì cái hạn năm mùi lại ập tới thì lao đao một phen.
segment_121|Mình cứ cho bu ăn trước, sau đó cho bu uống thuốc và nghỉ thêm.
segment_122|Tôi đi chưa biết bao lâu thì mới về.
segment_123|Nói rồi, ông bá quả quyết chống ba toong đi ngay.
segment_124|Bà bá đứng tựa cửa nhìn chồng, sau đó cũng lật đật tiến xuống nhà ngang, hối con sen để sắp mâm cơm sáng.
segment_125|Về phần Danh, sau khi ăn trận đòn nhừ tử và bị tống cổ khỏi làng, gã thất thểu bỏ sang một căn nhà nằm ở triền đê làng Nhậm Lý.
segment_126|Nơi đó có người bạn thân gã quen biết lâu nay, nhằm xin tá túc trong lúc tìm kế sinh nhai.
segment_127|Nói là bạn thân cho oai, kỳ thật đó là một tay cờ bạc có hạng mà Danh quen biết khi đi đỏ đen.
segment_128|Gã đàn ông đó tên là Tái, hơn Danh một tuổi, cũng là phận cùng đinh, áo vải như nhau.
segment_129|Đang ngồi phanh cúc áo để nhâm nhi chén trà sớm, thấy Danh thất thểu bước vào với bộ dạng tàn tạ.
segment_130|Tái vội đứng dậy, bằng điệu bộ sửng sốt, gã hỏi vội.
segment_131|Mày đi đâu mà sáng ra đã mò sang đây sớm vậy? Đứa nào đánh mày vậy?
segment_132|Khạc một bãi đờm nhổ toẹt xuống đất, Danh hạ mình ngồi xuống chõng, tự tay rót một cốc trà rồi nốc cạn.
segment_133|Nhìn bạn mình, Danh bực dọc nói.
segment_134|Thằng nào đánh tôi cho nổi, ngoài thằng bá Kiệm.
segment_135|Mẹ kiếp, đúng là đi đêm lắm có ngày gặp ma chẳng sai.
segment_136|Tôi lẻn vào tính trộm vài quan tiền đi làm mấy ván xanh chín, tám lần trước trót lọt.
segment_137|Thế mà lần này bị tóm sống.
segment_138|Lão ấy đánh tôi thân tàn ma dại, rồi còn định báo làng.
segment_139|Tái dè dặt nhìn bạn, vừa rót thêm nước vào chén, vừa căn vặn.
segment_140|Rồi sao mà thoát? Trốn nhà lao hả?
segment_141|Danh vặn mình.
segment_142|Mấy vết bầm tím làm gã đau ê ẩm.
segment_143|Con cọm nhà nhà ấy nó xin tha.
segment_144|May mà có nó chứ không thì chẳng biết sự sẽ ra thế nào.
segment_145|Tái chép miệng.
segment_146|Thôi, cũng coi như trong họa có phúc.
segment_147|Vào trong nhà lấy bộ đồ mới đi tắm đi.
segment_148|Để tao bắt con gà mần thịt đánh chén, coi như đoạn tuyệt quá khứ làm thằng đầy tớ.
segment_149|Danh ngậm ừ, mắt vẫn đăm đăm nhìn về hướng làng cũ.
segment_150|Cả ngày hôm đó, hai gã cà kê đến khi say mèm thì mới lăn ra ngủ.
segment_151|Về phần ông Bá Kiệm, sau khi cuộc họp bàn về đắp đê diễn ra xong,
segment_152|ông bá cũng chưa vội về ngay, mà rảo chân ra đồng thăm ruộng.
segment_153|Độ này sắp tới mùa gặt.
segment_154|Đi từ đằng xa, ông bá đã nhìn thấy cả một biển lúa vàng rượm.
segment_155|Như sáng lên dưới cái nắng chói chang của mùa hè.
segment_156|Cái ruộng thuộc về sở hữu của gia đình đã được đám gia nô ngăn nước lại để chuẩn bị cho công cuộc thu hoạch.
segment_157|Mùi bùn khô hòa với mùi lá lúa bị nắng hun nóng, tạo ra một mùi hương đặc trưng của đồng lúa chín.
segment_158|Rảo chân đi trên con đường rậm rì cỏ gấu.
segment_159|Ông bá hài lòng dõi mắt ra tứ hướng.
segment_160|Cánh đồng rộng mênh mông, tạo ra một khoảng trời bát ngát, gió thổi lồng lộng.
segment_161|Lúa gần chín hết rồi, độ đôi ba hôm nữa có thể cho chúng nó ra cắt.
segment_162|Ông bá cả mừng lẩm bẩm trong họng.
segment_163|Sau đó đi thẳng tới một gốc cây đa mọc giữa cánh đồng để tránh nắng.
segment_164|Chống cây ba toong lại một mô đất cao nằm dưới tán cây.
segment_165|Ông bá phanh cúc áo ngực nhằm đón ít gió trời.
segment_166|Đang dõi mắt ra thảm vàng, không thấy điểm cuối, chợt ông bá thấy một bóng người cũng đang đi tới hướng này.
segment_167|Xem ra cũng là một người đi thăm đồng như ông.
segment_168|Nhưng khi kẻ kia càng tiến lại gần, ông bá mới nhận ra, đó không phải một người trong làng, mà là một người đàn bà độ ngoài lục tuần.
segment_169|Dáng dấp gầy gò, thân mặc bộ đồ lụa màu trắng, với dáng đi rất thanh thoát.
segment_170|Thấy ông bá đang đứng nghỉ chân, người đàn bà khẽ cúi đầu chào và nhận lại cái đáp lễ đầy lịch sự.
segment_171|Đến lúc này thì ông bá mới có thể quan sát kỹ hơn.
segment_172|Gương mặt người đàn bà này nom rất phúc hậu.
segment_173|Làn da đồi mồi, đôi chỗ đã điểm vết chân chim, nhưng cũng còn níu lại được nét xuân sắc hiếm có.
segment_174|Hàm răng của người đàn bà này khác xa với thời cuộc, nghĩa là không đen nhánh như hạt na mà trắng bóc và đều như hạt bưởi.
segment_175|Duy chỉ có điều làm ông bá cảm thấy hơi khó chịu, đó là đôi mắt của bà ta rất sáng.
segment_176|Hệt như có thể đọc thấu suy nghĩ của kẻ đối diện.
segment_177|Và cũng vì đôi mắt này khiến ông bá chẳng dám nhìn lâu, đành quay đi chỗ khác như lảng tránh.
segment_178|Đôi tay không ngừng lần tràng hạt bằng gỗ, người đàn bà đột nhiên gợi chuyện.
segment_179|Chào ông, ông cũng nghỉ chân tránh nắng phỏng?
segment_180|Ông bá chắp tay xá rồi đáp.
segment_181|Vâng thưa bà, tôi đi thăm đồng nên lên đây để tránh nắng.
segment_182|Nay nắng gắt gao quá bà ạ.
segment_183|Chẳng hay bà là người ở đâu?
segment_184|Tú thật đây là lần đầu tiên tôi diện kiến với bà.
segment_185|Người đàn bà thật thà kể.
segment_186|Tôi đi thăm con gái lấy chồng ở làng bên, vô tình đi qua đây ông ạ.
segment_187|Vậy ra ông là người làng này chứ chẳng phải là khách bộ hành như tôi.
segment_188|Ông bá mỉm cười, trỏ tay lại hướng một nóc nhà cao nhất trong làng rồi nói.
segment_189|Vâng, tôi là Kiệm, là người trong làng này.
segment_190|Nhà tôi kia kìa, cái nhà có nóc cao nhất đấy bà ạ.
segment_191|Dõi mắt nhìn theo hướng tay ông bá, ngay lập tức nét mặt của người đàn bà đột nhiên đổi sắc.
segment_192|Như để xác nhận lại nghi hoặc trong lòng, người đàn bà hỏi lại.
segment_193|Có phải cái nhà có giàn hoa giấy ở cổng đúng không ông?
segment_194|Quanh nhà đó có mấy cái ao hoang và ở cổng có một đôi chó đá phỏng?
segment_195|Ông bá Kiệm sửng sốt.
segment_196|Vâng, đích thị là thế.
segment_197|Ra là bà cũng biết gia đình tôi.
segment_198|Thấy người đàn bà bày ra nét khó xử.
segment_199|Là một người đàn ông tinh ý, thái độ đó rất nhanh bị ông bá nhận ra.
segment_200|Khựng người lại mấy giây, ông bá hỏi.
segment_201|Mạn phép cho tôi hỏi thẳng, chẳng hay có sự gì mà bà có vẻ bối rối vậy?
segment_202|Đáp lại câu hỏi của ông bá là một câu hỏi khác.
segment_203|Chẳng hay trong nhà ông có người nào già cả và bệnh tật lâu nay chăng?
segment_204|Ông bá sửng sốt đáp.
segment_205|Vâng, bu tôi ngót bát tuần, bệnh nặng lâu nay không thuốc thang nào khỏi.
segment_206|Người đàn bà ngập ngừng mấy giây rồi nói thẳng một câu, làm ông bá lạnh người.
segment_207|Mùng 3, 14, 25, coi chừng nhập quan đấy.
segment_208|Ông bá rùng mình đứng bật dậy.
segment_209|Thưa bà, bà nói thế là có ý gì?
segment_210|Đột nhiên người đàn bà giật thót mình rồi xua tay.
segment_211|Không không.
segment_212|Bà nãy tôi vô tình đi qua căn nhà ấy, thấy cảnh nhà đẹp quá nên đứng lại ngắm ít lâu.
segment_213|Tôi nói xàm đấy, ông đừng để bụng làm gì, tôi xin cáo lui kẻo muộn.
segment_214|Nói rồi, người đàn bà rảo bước chân đi, để lại ông bá với nỗi hoang mang trong tâm trí.
segment_215|Về tới nhà, ông bá đem cuộc tạo ngộ và những câu nói không đầu không đuôi của người đàn bà kia ra kể với vợ.
segment_216|Nghe xong, bà bá cũng cảm thấy đâm lo.
segment_217|Bà lặng người mấy giây, sau đó e rè bảo.
segment_218|Những người bật ra lời nói vô tình như thế thường hay linh ứng lắm.
segment_219|Mùng 3 và 14 đã qua.
segment_220|Hôm nay là 23 rồi mình ạ.
segment_221|Còn hai ngày nữa là tới cái đận 25, tôi sợ...
segment_222|Bà bá bỏ dở câu nói rồi sầu khổ dõi mắt vào trong buồng, nơi mẹ chồng bà đang ngả lưng.
segment_223|Như hiểu được những nỗi lắng lo trong lòng vợ, ông bá cũng lặng người không nói gì.
segment_224|Một lát sau, ông mệt mỏi nhìn vợ rồi bảo.
segment_225|Dù như thế nào thì vợ chồng mình cũng phải chuẩn bị cho tình huống xấu nhất.
segment_226|Cổ nhân đã dạy, sinh có hạn tử bất kỳ, chẳng ai biết trước được điều gì mình ạ.
segment_227|Bà bá ngậm ngùi nhìn chồng, ánh mắt như muốn chia sẻ nỗi buồn trong sâu thẳm.
segment_228|Buông một tiếng thở dài nặng nhọc, ông bá lê thân đứng dậy.
segment_229|Tiến đến bàn thờ, lên cho gia tiên một tuần nhang thơm.
segment_230|Sau đó lại quay trở lại bàn uống nước với cõi lòng chất chứa đầy nỗi niềm tâm sự.
segment_231|Cũng kể từ hôm đó.
segment_232|ông gác lại hết mọi công việc trong ngoài, không đi đâu khỏi nhà, suốt ngày quanh quẩn bên mẹ mình, một bước cũng chẳng rời.
segment_233|Trong thâm tâm ông chỉ cầu mong, lời người đàn bà kia chỉ là chuyện hoang đường, là câu nói vô tình đùa cợt.
segment_234|Ông luôn miệng khấn vái tổ tiên, cầu mong đừng để điềm tang tóc tìm tới gõ cửa nhà mình.
segment_235|Nhưng cũng may từ hôm đó, bà cụ Nhâm dường như tỉnh táo hẳn ra, đã có thể đi lại trong nhà mà chẳng cần con dâu dìu đỡ như mọi bận.
segment_236|Dòng đời đang yên ả trôi là thế, vậy mà tới đúng ngày 25, bà cụ đột nhiên ốm to.
segment_237|Sau bữa cơm chiều đạm bạc, bà cụ than mệt bỏ vào giường, rồi cứ thế lịm dần trong nỗi hoàng kinh của vợ chồng ông bá kiệm.
segment_238|Tin bà cụ sắp lìa đời đồn ra rất nhanh.
segment_239|Hầu hết dân trong làng này đều đã từng chịu ơn cứu tử, thành ra khi vừa nghe tin, người ta đã ùn ùn lớp lang kéo tới.
segment_240|Từ đám chức quyền như cụ Chánh, từ những bậc cao niên như đám hương thân, rồi nam thanh phụ ấu đều kéo tới.
segment_241|Họ đứng đen đặc vòng trong vòng ngoài, có kẻ lại ngồi hẳn ở sân, ánh mắt chất chứa nỗi buồn dõi vào bên trong căn buồng lúc này đã bu kín người.
segment_242|Bên trên chiếc giường với lớp chăn đệm màu đỏ ối, bà cụ Nhâm hai mắt nhắm hờ, mồm hơi há ra, tay đặt trước ngực, kiệt lực như một cái sắc khô chờ bỏ vào hòm đem ra đồng chôn.
segment_243|Quỳ bên cạnh giường, nắm lấy cẳng tay mẹ, đôi mắt ông bà bá kiệm đã rơm rớm nước.
segment_244|Cùng lúc đó, tại căn nhà tranh bên kia làng, Danh và Tái cũng đã nai nịt gọn gàng, chuẩn bị theo một số đồ nghề, châm thêm bó đuốc, thủ thêm con dao bên hông rồi xăm xăm tìm hướng quay trở lại làng.
segment_245|Đêm qua, bên mâm rượu thịt ê hề, sẵn còn hận chuyện ông bá tống cổ mình ra khỏi nhà, kẻ phản phúc như danh đã bàn với tái cùng nhau quay lại nhà ông bá, làm một mẻ thật lớn.
segment_246|Sau đó quyết định bỏ xứ mà đi.
segment_247|Là gia nô thân tín trong nhà, danh rất rành đường đi lối lại.
segment_248|Gã thừa biết những nơi ông bá cất giấu của cải, lại biết cả vị trí hầm ngầm chứa vàng, chỉ cần đánh được một quả chót lọt, gã sẽ bán sới đi ngay.
segment_249|Nghĩ là làm, sau khi cùng nhau vạch ra chi tiết kế hoạch đột nhập và thoát thân.
segment_250|Đêm nay hai gã quyết định sẽ ra tay hành sự.
segment_251|Thời gian lúc ấy đã đổ về đầu giờ tí canh ba.
segment_252|Trên con đường đê heo hút vắng người, danh và tái lầm lũi tiến bước.
segment_253|Cả hai bước đi rất vội, không ai nói với ai tiếng nào.
segment_254|Cảnh vật làng quê chìm trong một màu quạnh quẽ.
segment_255|Ánh trăng thượng huyền trên cao, không hắt ánh sáng nhàn nhạt, soi tỏ hai thân người đổ ập xuống nền đường thành hai cái bóng, kéo dài một khoảng đen thẫm.
segment_256|Đi hết con đường đê, trời đột nhiên đổi sắc, con trăng lẫn trong tầng mây đen và gió bắt đầu lộng hơn.
segment_257|Hai gã đạo trích cũng nhanh chóng rảo bước.
segment_258|Gió ào ào thổi tới từng cơn mạnh hơn ban nãy, vài tia chớp ngoằn ngoèo lóe lên như muốn xé toạc bầu trời đêm đen sẫm.
segment_259|Sắp có mưa lớn rồi, càng thuận lợi cho kế hoạch đêm nay."
segment_260|Danh khẽ lẩm bẩm nói với Tái, không giấu được nỗi thấp khỏi mừng thầm, Tái lẩm bẩm.
segment_261|Nhà lão bá giàu nhất nhì cái tổng này, đêm nay nếu hành sự chót lọt thì chẳng riêng gì đời tao, mà ngay cả đời mày cũng hoàn toàn thay đổi.
segment_262|Tao sẽ bỏ xứ tìm tới tổng Đông Hà, mua nhà tậu trâu, thuê thêm mấy con tớ gái để mặc sức mà sai bảo.
segment_263|Mày sẽ được trả mối hận thù trong lòng và nửa đời sau cũng no cơm ấm cật, tha hồ mà lên mặt với đời.
segment_264|Cả hai rì rầm nói thêm mấy câu, sau đó lại nhanh chân rảo bước.
segment_265|Khi còn cách đầu làng một khoảng, căn nhà của ông bá đã lấp ló hiện ra trong đêm bão ông.
segment_266|Để chắc ăn thì danh dục tái.
segment_267|Dập đuốc đi, mình phải men theo đường tắt, đột nhập từ hướng hậu viện."
segment_268|Tái nhanh tay ném bó đuốc xuống một cái ao hoang bên cạnh đường, rồi lẻn nhanh theo bạn ra đường hậu viên căn nhà.
segment_269|Nhưng đang tính trèo tường đột nhập, bỗng cả hai giật mình khi nghe tiếng có tiếng khóc vỡ hòa vọng ra.
segment_270|Định thần lắng tai nghe, danh lờ mờ đã đoán ra chuyện gì.
segment_271|Là tiếng khóc của vợ chồng lão bá.
segment_272|Chắc con khọm già lăn cổ ra chết rồi, đêm nay không đột nhập được, hẵng rút cho chắc."
segment_273|Tái không can tâm.
segment_274|Biết đâu mày đoán sai thì sao?
segment_275|Hng đợi thêm một lúc nữa xem thế nào, đằng nào cũng cất công sang tận đây rồi."
segment_276|Danh ậm ừ trong họng, sau đó cả hai men theo hàng rào, bò tới chỗ bãi đất hoang gần khoảng sân trên.
segment_277|Mới lắng tai nghe, danh đã khẳng định suy đoán của mình là đúng.
segment_278|Vậy là mẹ ông bá đã chết, chết ngay khi thời gian vừa đổ sang ngày mới tầm hai khắc, nhằm đúng ngày 25 âm lịch.
segment_279|Dù khi còn làm gia nô trong nhà, đã trăm ngàn lần danh được bà cụ chiếu cố, lúc nào cũng coi như con cháu trong nhà, thậm chí ngay khi gã phạm tội tày đình, cũng một tay bà cụ đứng ra xin tha.
